Date,price_BTC,price_ADA,BTC 1W change percent,ADA 1W change percent,ADA dropped more
2017-11-12,5866.51312938529,0.024521650906143423,-26.42,10.18,False
2017-12-24,14451.1145466743,0.406643144559958,-34.41,-16.95,False
2018-01-21,11703.5048628599,0.6290330817666664,-23.69,-33.84,True
2018-02-04,8994.91486607664,0.448042724772298,-29.69,-40.74,True
2018-03-11,8890.86580399612,0.20501892019922235,-27.73,-41.32,True
2018-04-01,6975.27531402076,0.15553196120838061,-23.6,-21.59,False
2018-11-25,3895.8368129589876,0.038722242343312674,-43.72,-57.75,True
2018-12-09,3424.7058606626006,0.03038802710954653,-22.33,-36.37,True
2019-09-29,8225.11037185192,0.038690642111289586,-21.54,-33.8,True
2020-03-15,5214.189112383918,0.026047698238738294,-70.73,-89.04,True
2021-02-28,46653.52639939581,1.3428086739147602,-20.84,16.17,False
