Date,Price_BTC,Price_LINK
2017-11-09,7186.29277509382,0.22537665242356383
2017-11-10,6656.83969350681,0.189036422857878
2017-11-11,6365.39785208573,0.18122267085020952
2017-11-12,5866.51312938529,0.1700132017426718
2017-11-13,6423.09140246102,0.1806910270317246
2017-11-14,6652.21677956026,0.184052414487514
2017-11-15,7297.66883633256,0.190234703697849
2017-11-16,7814.9444036566,0.168815435262205
2017-11-17,7783.54246476388,0.157111951079117
2017-11-18,7827.63146946899,0.170396872923389
2017-11-19,8011.14742989044,0.161562072015449
2017-11-20,8220.50996617654,0.161699324563346
2017-11-21,8114.13367954416,0.15534024599226
2017-11-22,8257.12389528835,0.171994652205768
2017-11-23,8117.66434762603,0.166836303540755
2017-11-24,8278.12843633886,0.193630018866783
2017-11-25,8743.1593779107,0.181614185954014
2017-11-26,9342.98864142167,0.180970294760191
2017-11-27,9831.40292992241,0.185539034791525
2017-11-28,10257.0674169803,0.182857171612691
2017-11-29,9875.89230818829,0.148182604698864
2017-11-30,10406.18772373,0.176531012243321
2017-12-01,10995.7235531179,0.179304957670163
2017-12-02,11162.5450307617,0.209550265158311
2017-12-03,11256.7018287538,0.23258135609056
2017-12-04,11634.9849554034,0.230275636693036
2017-12-05,12174.2537397926,0.304149551009681
2017-12-06,13876.4735794148,0.307720741757842
2017-12-07,18491.1815542282,0.282465615917081
2017-12-08,16908.0049521112,0.254712831478248
2017-12-09,15266.4263894651,0.242284360365337
2017-12-10,15808.5098961544,0.259557802158669
2017-12-11,17106.5051488871,0.268703181549668
2017-12-12,17249.920214656,0.230286807722069
2017-12-13,16525.0444892988,0.262713397665542
2017-12-14,16865.3616648753,0.326835240155564
2017-12-15,17978.6305581344,0.323869762230607
2017-12-16,19665.3949272416,0.345269207812753
2017-12-17,19423.5801532525,0.433549056037159
2017-12-18,19188.0539569348,0.398151625490467
2017-12-19,18174.1867596316,0.451875490859165
2017-12-20,17059.8883502646,0.387331798402805
2017-12-21,16355.2382257401,0.451206301169457
2017-12-22,14084.8249267767,0.428625944054276
2017-12-23,15241.9164656487,0.640988279822039
2017-12-24,14451.1145466743,0.571485769080935
2017-12-25,14302.7537081839,0.516110799071259
2017-12-26,16616.6820570844,0.543293292052107
2017-12-27,16373.0810795739,0.535789659885158
2017-12-28,15067.8994980567,0.533573049166275
2017-12-29,15096.5594360709,0.506375342669138
2017-12-30,13620.3618741461,0.617943165565106
2017-12-31,14839.5907854184,0.645972637178712
2018-01-01,14093.6068305274,0.751033001487362
2018-01-02,15321.9328517642,0.68938823979678
2018-01-03,15583.8855377593,0.7046229508546422
2018-01-04,15976.365194174,1.0368260436887946
2018-01-05,18336.9229801691,0.9965746466185855
2018-01-06,18343.6624934071,1.1388894192046262
2018-01-07,17039.8739138488,1.3434661973951738
2018-01-08,15900.3650216006,1.4528740664515702
2018-01-09,15604.7234082405,1.3307473246819825
2018-01-10,15509.2701268168,1.2089402110326044
2018-01-11,14050.5696063543,1.084600009579238
2018-01-12,14759.294629915,1.1189166788534954
2018-01-13,15193.3148979847,1.1661706267120107
2018-01-14,14476.5889713691,1.0641862131056514
2018-01-15,14411.9977069182,0.9321538428398722
2018-01-16,11723.9135206658,0.7669852676254107
2018-01-17,11415.3928442768,0.7178431073085161
2018-01-18,11569.4249920858,0.752922622567753
2018-01-19,11758.4693327652,0.8330064581917924
2018-01-20,13260.2711872786,1.2726402950608287
2018-01-21,11703.5048628599,0.9072286703188935
2018-01-22,10991.5950130802,0.815217780236165
2018-01-23,10894.0009053405,0.812958191760613
2018-01-24,11277.1159704489,0.7957870239137518
2018-01-25,11225.2544568853,0.7616134945165636
2018-01-26,11044.9072365744,0.7066018710304
2018-01-27,11456.2135062799,0.8313773087220179
2018-01-28,11665.6969300847,0.7619347513558986
2018-01-29,11157.6638878978,0.6945892695385708
2018-01-31,9989.68977659669,0.5978898270462802
2018-02-01,10114.495086226,0.6167796092171137
2018-02-02,9070.55544937356,0.5161396402797763
2018-02-03,8830.16351005472,0.49173125954960184
2018-02-04,8994.91486607664,0.5089050879648738
2018-02-05,8315.51749143615,0.437674150687741
2018-02-06,6852.05270051491,0.3448357287212435
2018-02-07,7711.2203289411,0.4236641423369087
2018-02-09,8208.57208449673,0.40851810799508714
2018-02-10,8650.71675042998,0.4332515930648353
2018-02-11,8574.67763849023,0.4211200463806884
2018-02-12,8168.63777979963,0.42125494891878457
2018-02-13,8911.3985742083,0.5274536244700772
2018-02-14,8518.26907619091,0.5655347035179451
2018-02-15,9428.02560716167,0.5682935011002491
2018-02-16,10112.5801434467,0.5668639521348019
2018-02-17,10155.2770555258,0.6681231615998229
2018-02-18,11006.647685962,0.6802781439895585
2018-02-19,10523.429305801,0.7376264894933101
2018-02-20,11103.0900361497,0.7848419905047005
2018-02-21,11502.3770496396,0.7269199140519517
2018-02-22,9973.59211951887,0.607337636559552
2018-02-23,10032.863112314,0.6019744506217561
2018-02-24,10301.883609336,0.6838021842142987
2018-02-25,9742.62819006538,0.6418983704474361
2018-02-26,9699.51718151529,0.6897352366568666
2018-02-27,10355.5781264856,0.6968246792888706
2018-02-28,10709.3884310463,0.7181242964444599
2018-03-01,10346.664931035,0.670069339022114
2018-03-02,10859.5521943893,0.659888397655944
2018-03-03,11098.0758092511,0.6543326233945894
2018-03-04,11356.0416016724,0.6226762574813894
2018-03-05,11286.6762891691,0.5858284237259108
2018-03-06,11526.4209302906,0.5817257598060905
2018-03-07,10727.716249205,0.5337828401137827
2018-03-08,9999.68248604677,0.5288027735522192
