,price
2013-04-28 00:00:00.000,135.3
2013-04-29 00:00:00.000,141.96
2013-04-30 00:00:00.000,135.3
2013-05-01 00:00:00.000,117.0
2013-05-02 00:00:00.000,103.43
2013-05-03 00:00:00.000,91.01
2013-05-04 00:00:00.000,111.25
2013-05-05 00:00:00.000,116.79
2013-05-06 00:00:00.000,118.33
2013-05-07 00:00:00.000,106.4
2013-05-08 00:00:00.000,112.64
2013-05-09 00:00:00.000,113.0
2013-05-10 00:00:00.000,118.78
2013-05-11 00:00:00.000,113.01
2013-05-12 00:00:00.000,114.713
2013-05-13 00:00:00.000,117.18
2013-05-14 00:00:00.000,114.5
2013-05-15 00:00:00.000,114.156
2013-05-16 00:00:00.000,115.5
2013-05-17 00:00:00.000,123.1
2013-05-18 00:00:00.000,123.88
2013-05-19 00:00:00.000,120.501
2013-05-20 00:00:00.000,122.58
2013-05-21 00:00:00.000,122.9
2013-05-22 00:00:00.000,123.0
2013-05-23 00:00:00.000,125.748
2013-05-24 00:00:00.000,131.7
2013-05-25 00:00:00.000,130.77
2013-05-26 00:00:00.000,134.6
2013-05-27 00:00:00.000,128.985
2013-05-28 00:00:00.000,129.179
2013-05-29 00:00:00.000,132.13
2013-05-30 00:00:00.000,127.401
2013-05-31 00:00:00.000,127.98
2013-06-01 00:00:00.000,129.09
2013-06-02 00:00:00.000,121.3
2013-06-03 00:00:00.000,121.16
2013-06-05 00:00:00.000,121.309
2013-06-06 00:00:00.000,121.714
2013-06-07 00:00:00.000,119.0
2013-06-08 00:00:00.000,110.09
2013-06-09 00:00:00.000,108.401
2013-06-10 00:00:00.000,99.7497
2013-06-11 00:00:00.000,105.99
2013-06-12 00:00:00.000,108.9
2013-06-13 00:00:00.000,108.4
2013-06-14 00:00:00.000,102.769
2013-06-15 00:00:00.000,98.399
2013-06-16 00:00:00.000,99.99
2013-06-17 00:00:00.000,100.42
2013-06-18 00:00:00.000,102.0
2013-06-19 00:00:00.000,106.55
2013-06-20 00:00:00.000,107.9
2013-06-21 00:00:00.000,110.91
2013-06-22 00:00:00.000,109.015
2013-06-23 00:00:00.000,107.25
2013-06-24 00:00:00.000,108.0
2013-06-25 00:00:00.000,102.443
2013-06-26 00:00:00.000,103.691
2013-06-27 00:00:00.000,103.39
2013-06-28 00:00:00.000,99.66
2013-06-29 00:00:00.000,93.3311
2013-06-30 00:00:00.000,95.3886
2013-07-01 00:00:00.000,97.504
2013-07-02 00:00:00.000,89.489
2013-07-03 00:00:00.000,90.797
2013-07-04 00:00:00.000,78.8
2013-07-05 00:00:00.000,78.48
2013-07-06 00:00:00.000,67.809
2013-07-07 00:00:00.000,68.0831
2013-07-08 00:00:00.000,77.502
2013-07-09 00:00:00.000,76.3915
2013-07-10 00:00:00.000,77.0
2013-07-11 00:00:00.000,85.75
