,price
2018-03-08 00:00:00.000,0.5288027735522192
2018-03-09 00:00:00.000,0.4893834530744542
2018-03-10 00:00:00.000,0.48025935176356677
2018-03-11 00:00:00.000,0.4722983362870366
2018-03-12 00:00:00.000,0.5118823101189964
2018-03-13 00:00:00.000,0.5126081881517227
2018-03-14 00:00:00.000,0.5568312094427035
2018-03-15 00:00:00.000,0.4481738211721918
2018-03-16 00:00:00.000,0.4263885797996253
2018-03-17 00:00:00.000,0.43762136181054795
2018-03-18 00:00:00.000,0.3816637181836032
2018-03-19 00:00:00.000,0.3730335222571015
2018-03-20 00:00:00.000,0.3853998368049414
2018-03-21 00:00:00.000,0.3937510715602108
2018-03-22 00:00:00.000,0.44757059545499517
2018-03-23 00:00:00.000,0.42142190647678324
2018-03-24 00:00:00.000,0.4104793135737564
2018-03-25 00:00:00.000,0.4201074247534931
2018-03-26 00:00:00.000,0.4073205553809125
2018-03-27 00:00:00.000,0.3726131281840011
2018-03-28 00:00:00.000,0.3467806657629637
2018-03-29 00:00:00.000,0.35129245287975686
2018-03-30 00:00:00.000,0.2806410103395506
2018-03-31 00:00:00.000,0.28949793562943693
2018-04-01 00:00:00.000,0.2813859966712322
2018-04-02 00:00:00.000,0.2629464758883533
2018-04-03 00:00:00.000,0.27484884854867947
2018-04-04 00:00:00.000,0.29713679916151553
2018-04-05 00:00:00.000,0.2892663653746662
2018-04-06 00:00:00.000,0.2887598139178785
2018-04-07 00:00:00.000,0.2757851827798853
2018-04-08 00:00:00.000,0.3035240106575283
2018-04-09 00:00:00.000,0.3238930609021685
2018-04-10 00:00:00.000,0.31018706889731823
2018-04-11 00:00:00.000,0.3566977822730633
2018-04-12 00:00:00.000,0.35681872823230454
2018-04-13 00:00:00.000,0.3830851510235566
2018-04-14 00:00:00.000,0.3790784450128189
2018-04-15 00:00:00.000,0.3893721846359322
2018-04-16 00:00:00.000,0.41943773717873134
2018-04-17 00:00:00.000,0.407727567514725
2018-04-18 00:00:00.000,0.4177466008793247
2018-04-19 00:00:00.000,0.4426406340780153
2018-04-20 00:00:00.000,0.48362083807863676
2018-04-21 00:00:00.000,0.4811779918772456
2018-04-22 00:00:00.000,0.4899742585847869
2018-04-23 00:00:00.000,0.49677500943948555
2018-04-24 00:00:00.000,0.49043834560002647
2018-04-25 00:00:00.000,0.535110678040081
2018-04-26 00:00:00.000,0.43641215863183325
2018-04-27 00:00:00.000,0.48544740681046183
2018-04-28 00:00:00.000,0.45171884478239194
2018-04-29 00:00:00.000,0.4796164850961695
2018-04-30 00:00:00.000,0.5112855334061484
2018-05-01 00:00:00.000,0.5392131753920526
2018-05-02 00:00:00.000,0.5446569078609808
2018-05-03 00:00:00.000,0.5585337538737093
2018-05-04 00:00:00.000,0.5575448852477686
2018-05-05 00:00:00.000,0.5790438209731169
2018-05-06 00:00:00.000,0.5682542143329966
2018-05-07 00:00:00.000,0.5366454967708046
2018-05-08 00:00:00.000,0.5730010751582508
2018-05-09 00:00:00.000,0.5490319683466198
2018-05-10 00:00:00.000,0.5363115589259171
2018-05-11 00:00:00.000,0.5240032023368774
2018-05-12 00:00:00.000,0.46796590213216716
2018-05-13 00:00:00.000,0.4649894553920855
2018-05-14 00:00:00.000,0.5025597307813391
2018-05-15 00:00:00.000,0.5188180949202646
2018-05-16 00:00:00.000,0.5050564734752597
2018-05-17 00:00:00.000,0.48028420057363624
2018-05-18 00:00:00.000,0.44151467725738786
2018-05-19 00:00:00.000,0.4548743362716031
2018-05-20 00:00:00.000,0.44807444045298656
2018-05-21 00:00:00.000,0.45103349369736107
2018-05-22 00:00:00.000,0.42202435643041486
2018-05-23 00:00:00.000,0.37371944654910944
2018-05-24 00:00:00.000,0.3500077204529953
2018-05-25 00:00:00.000,0.3609154848848072
2018-05-26 00:00:00.000,0.34471676555964
2018-05-27 00:00:00.000,0.3639232249313624
2018-05-28 00:00:00.000,0.3447505402760579
2018-05-29 00:00:00.000,0.31523794635180646
2018-05-30 00:00:00.000,0.35086913217923993
2018-05-31 00:00:00.000,0.3352345131533783
2018-06-01 00:00:00.000,0.34420567591149903
2018-06-02 00:00:00.000,0.3484805031453738
2018-06-03 00:00:00.000,0.3638603812710493
2018-06-04 00:00:00.000,0.35723578809248063
2018-06-05 00:00:00.000,0.3383013964160903
2018-06-06 00:00:00.000,0.3339122928083154
2018-06-07 00:00:00.000,0.3276861363616922
2018-06-08 00:00:00.000,0.3028241662465002
2018-06-09 00:00:00.000,0.2910037184559278
2018-06-10 00:00:00.000,0.29437074171420846
2018-06-11 00:00:00.000,0.24220006133689156
2018-06-12 00:00:00.000,0.2632875441895734
2018-06-13 00:00:00.000,0.22926031815708742
2018-06-14 00:00:00.000,0.21674733743848637
2018-06-15 00:00:00.000,0.2400703832631715
2018-06-16 00:00:00.000,0.22235900838702402
2018-06-17 00:00:00.000,0.2198237328493726
2018-06-18 00:00:00.000,0.21323457205588833
2018-06-19 00:00:00.000,0.21001486772421607
2018-06-20 00:00:00.000,0.21800996422835953
2018-06-21 00:00:00.000,0.22309511235571275
2018-06-22 00:00:00.000,0.2110983249881527
2018-06-23 00:00:00.000,0.18683825693069467
2018-06-24 00:00:00.000,0.19463996655192833
2018-06-25 00:00:00.000,0.18704791139879903
2018-06-26 00:00:00.000,0.17975783273258394
2018-06-27 00:00:00.000,0.17199191931328364
