,date,price
0,2020-02-27,8801.657129472504
1,2020-02-28,8781.175282202359
2,2020-02-29,8717.331431359424
3,2020-03-01,8552.989118581636
4,2020-03-02,8567.802248679225
5,2020-03-03,8905.876104262194
6,2020-03-04,8756.718576742549
7,2020-03-05,8758.646993191916
8,2020-03-06,9038.870323233425
9,2020-03-07,9135.84506603321
10,2020-03-08,8902.20195010789
11,2020-03-09,8041.365538071835
12,2020-03-10,7921.33200691072
13,2020-03-11,7906.731528510632
14,2020-03-12,7935.522040170545
15,2020-03-13,5142.990459018316
16,2020-03-14,5542.819542373153
17,2020-03-15,5214.189112383918
18,2020-03-16,5397.93335743919
19,2020-03-17,5032.501351487721
20,2020-03-18,5389.41577503409
21,2020-03-19,5376.280747845438
22,2020-03-20,6170.200600237675
23,2020-03-21,6195.603505257629
24,2020-03-22,6145.770891252399
25,2020-03-23,5859.647430299388
26,2020-03-24,6456.347485963419
27,2020-03-25,6730.173782371188
28,2020-03-26,6695.9006183977235
29,2020-03-27,6765.56207892991
30,2020-03-28,6397.826328325604
31,2020-03-29,6255.000398693634
32,2020-03-30,5915.337154791903
33,2020-03-31,6403.141235565223
34,2020-04-01,6421.70541388854
35,2020-04-02,6640.797666310131
36,2020-04-03,6807.897017890566
37,2020-04-04,6732.852018394612
38,2020-04-05,6859.424923721944
39,2020-04-06,6788.048272605917
40,2020-04-07,7297.635558289496
41,2020-04-08,7196.782202442051
42,2020-04-09,7342.291601148024
43,2020-04-10,7294.488875121554
44,2020-04-11,6864.694257006497
45,2020-04-12,6878.781212589853
46,2020-04-13,6913.158787469097
47,2020-04-14,6857.538537511484
48,2020-04-15,6860.17853570111
49,2020-04-16,6629.431738031291
50,2020-04-17,7059.92622475854
51,2020-04-18,7035.261503989225
52,2020-04-19,7242.5109294929825
53,2020-04-20,7127.511949689152
54,2020-04-21,6856.456278354705
55,2020-04-22,6842.038597634602
56,2020-04-23,7109.995291181778
57,2020-04-24,7382.793144116689
58,2020-04-25,7495.393587498606
59,2020-04-26,7538.557687279841
60,2020-04-27,7683.867415083342
61,2020-04-28,7774.281554448049
62,2020-04-29,7758.230255185947
63,2020-04-30,8744.430287016561
64,2020-05-01,8610.63580374089
65,2020-05-02,8824.818413551968
66,2020-05-03,8966.307014689282
67,2020-05-04,8888.671912686868
68,2020-05-05,8884.407813577056
69,2020-05-06,9003.240557621584
70,2020-05-07,9144.68703972007
71,2020-05-08,9959.166416261767
72,2020-05-09,9821.81131529702
73,2020-05-10,9566.777187205966
74,2020-05-11,8752.617087745832
75,2020-05-12,8604.75159101983
76,2020-05-13,8788.466749414652
77,2020-05-14,9283.08601265873
78,2020-05-15,9796.494527024528
79,2020-05-16,9309.29535940684
80,2020-05-17,9375.29710843331
81,2020-05-18,9666.32719340344
82,2020-05-19,9708.439858793108
83,2020-05-20,9760.198937162193
84,2020-05-21,9526.50759300584
85,2020-05-22,9059.962506871727
86,2020-05-23,9131.767275081993
87,2020-05-24,9170.361063506127
88,2020-05-25,8731.848525870651
89,2020-05-26,8883.691769863415
90,2020-05-27,8839.130663273247
91,2020-05-28,9174.118563996424
92,2020-05-29,9546.04563503715
93,2020-05-30,9427.120373393418
94,2020-05-31,9662.70587254818
95,2020-06-01,9466.961781429516
96,2020-06-02,10167.93069332851
97,2020-06-03,9515.243858655718
98,2020-06-04,9645.227869360308
99,2020-06-05,9776.20299178848
100,2020-06-06,9636.965527050057
101,2020-06-07,9662.858709002241
102,2020-06-08,9738.603356828593
103,2020-06-09,9773.02951309516
104,2020-06-10,9767.00531665552
105,2020-06-11,9874.898681832236
106,2020-06-12,9325.996856202635
107,2020-06-13,9469.533297509908
108,2020-06-14,9469.473456163696
109,2020-06-15,9345.960907722063
110,2020-06-16,9431.719262201745
111,2020-06-17,9524.92661691022
112,2020-06-18,9463.361414311787
113,2020-06-19,9399.767217129216
114,2020-06-20,9312.780104497786
115,2020-06-21,9360.247968201687
116,2020-06-22,9298.360829121417
117,2020-06-23,9678.683208975835
118,2020-06-24,9624.684291831398
119,2020-06-25,9288.061774486938
120,2020-06-26,9258.667161007706
121,2020-06-27,9166.486360416233
122,2020-06-28,9013.90556467614
123,2020-06-29,9139.903276297824
124,2020-06-30,9185.166540651147
125,2020-07-01,9149.721996758017
126,2020-07-02,9230.672998590804
127,2020-07-03,9094.318072166905
128,2020-07-04,9071.3850427828
129,2020-07-05,9132.908369533492
130,2020-07-06,9087.407312582163
131,2020-07-07,9342.376492626678
132,2020-07-08,9253.630980242333
133,2020-07-09,9432.172515827939
134,2020-07-10,9235.716302064242
135,2020-07-11,9282.913638839902
136,2020-07-12,9234.314674712627
137,2020-07-13,9297.479635872663
138,2020-07-14,9240.76251972468
139,2020-07-15,9247.060695963813
140,2020-07-16,9203.371435179699
141,2020-07-17,9136.483376363976
142,2020-07-18,9156.276583115488
143,2020-07-19,9168.402736564132
144,2020-07-20,9202.615839500108
145,2020-07-21,9163.159654576915
146,2020-07-22,9384.379751903267
147,2020-07-23,9514.304987626969
148,2020-07-24,9589.81771944117
149,2020-07-25,9535.93879573746
150,2020-07-26,9691.825138917147
151,2020-07-27,9925.751397476346
152,2020-07-28,10962.258481207355
153,2020-07-29,10904.916526918994
154,2020-07-30,11093.612240442404
155,2020-07-31,11116.307163685275
156,2020-08-01,11325.5515272739
157,2020-08-02,11812.094307268515
158,2020-08-03,11066.306240590267
159,2020-08-04,11230.907762749297
160,2020-08-05,11181.917508034885
161,2020-08-06,11719.26352395155
162,2020-08-07,11768.127742240009
163,2020-08-08,11571.487980683192
