Date,Price_BTC,Price_LINK
2017-11-12,5866.51312938529,0.1700132017426718
2017-11-19,8011.14742989044,0.161562072015449
2017-11-26,9342.98864142167,0.180970294760191
2017-12-03,11256.7018287538,0.23258135609056
2017-12-10,15808.5098961544,0.259557802158669
2017-12-17,19423.5801532525,0.433549056037159
2017-12-24,14451.1145466743,0.571485769080935
2017-12-31,14839.5907854184,0.645972637178712
2018-01-07,17039.8739138488,1.3434661973951738
2018-01-14,14476.5889713691,1.0641862131056514
2018-01-21,11703.5048628599,0.9072286703188935
2018-01-28,11665.6969300847,0.7619347513558986
2018-02-04,8994.91486607664,0.5089050879648738
2018-02-11,8574.67763849023,0.4211200463806884
2018-02-18,11006.647685962,0.6802781439895585
2018-02-25,9742.62819006538,0.6418983704474361
2018-03-04,11356.0416016724,0.6226762574813894
2018-03-11,8890.86580399612,0.4722983362870366
2018-03-18,8063.4097921227,0.3816637181836032
2018-03-25,8621.15079225785,0.4201074247534931
2018-04-01,6975.27531402076,0.2813859966712322
2018-04-08,6884.47723505995,0.3035240106575283
2018-04-15,7897.71993085806,0.3893721846359322
2018-04-22,8878.42826029723,0.4899742585847869
2018-04-29,9249.65952508923,0.4796164850961695
2018-05-06,9766.24448548887,0.5682542143329966
2018-05-13,8480.58037612559,0.4649894553920855
2018-05-20,8180.62700991409,0.44807444045298656
2018-05-27,7328.87167436352,0.3639232249313624
2018-06-03,7567.51293761927,0.3638603812710493
2018-06-10,7415.00137858946,0.29437074171420846
2018-06-17,6478.81592433021,0.2198237328493726
2018-06-24,6169.43726386169,0.19463996655192833
2018-07-01,6366.49946751097,0.22425276928366122
2018-07-08,6759.83608914527,0.24850625404369836
2018-07-15,6246.13741162634,0.19434767756135934
2018-07-22,7379.137271821949,0.221273813063886
2018-07-29,8192.13570223742,0.2797779641138054
2018-08-05,7009.012011793916,0.25808427890651753
2018-08-12,6205.218479944854,0.27020652751835555
2018-08-19,6382.0605914076095,0.2702307785563211
2018-08-26,6736.036057516459,0.31771276498953316
2018-09-02,7211.270767868822,0.33531643949692513
2018-09-09,6181.19445075213,0.24196644342657844
2018-09-16,6530.221146234664,0.2695197004083451
2018-09-23,6747.032172960024,0.34012531237195404
2018-09-30,6606.073795422076,0.32978132419663236
2018-10-07,6589.124681678888,0.3382786359953736
2018-10-14,6314.883384422573,0.3219547139860516
2018-10-21,6532.678750383806,0.3706481170114308
2018-10-28,6457.058635186671,0.43961221073615486
2018-11-04,6388.1897883073725,0.5364052232130779
2018-11-11,6429.898792074219,0.5152420907266761
2018-11-18,5599.1915956893035,0.49231147913270823
2018-11-25,3895.8368129589876,0.2900826248538034
2018-12-02,4189.573822999859,0.3160191888721412
2018-12-09,3424.7058606626006,0.22235592173295726
2018-12-16,3221.9762037129963,0.20397350195368047
2018-12-23,3960.567773408038,0.301470256197297
2018-12-30,3778.193939889601,0.29757073793532957
2019-01-06,3787.3078571242845,0.39350642259407076
2019-01-13,3598.4363465618803,0.40177752846717024
2019-01-20,3674.587270857304,0.47956116104535323
2019-01-27,3563.614563419144,0.46598022590195226
2019-02-03,3486.581616258029,0.4112034510948895
2019-02-10,3667.4082642899566,0.4625530761153885
2019-02-17,3622.5916530750715,0.4392184795959137
2019-02-24,4115.3379267876635,0.4589603020336277
2019-03-03,3819.645730582585,0.42373803270534477
2019-03-10,3941.600873271771,0.4758257866846512
2019-03-17,4007.709463818873,0.4796345700935913
2019-03-24,4008.945386314754,0.46041085436881113
2019-03-31,4103.856421333923,0.4950738323823073
2019-04-07,5041.869075888309,0.5689071390958422
2019-04-14,5072.987191337883,0.5355994199167019
2019-04-21,5307.689183437135,0.5144083177865925
2019-04-28,5256.977802474059,0.4413749148443776
2019-05-05,5803.943309048437,0.495584354809408
2019-05-12,7258.261280655222,0.6943876349972975
2019-05-19,7300.655158341227,0.9430464385065769
2019-05-26,8037.627431860584,1.1174057059163736
2019-06-02,8554.261728092017,0.9590327197829206
2019-06-09,7942.539284064289,1.1496312142262195
2019-06-16,8818.609506932296,1.7266371555081024
2019-06-23,10704.922148115673,1.8430658406117417
2019-06-30,11972.555667220913,3.8016083396388924
2019-07-07,11279.476377672418,3.477499917417069
2019-07-14,11418.511855491488,3.1810817479052402
2019-07-21,10774.281137633849,2.6447302995654933
2019-07-28,9447.678401413306,2.232822723205412
2019-08-04,10791.200523159,2.420537174569688
2019-08-11,11327.842642233223,2.340580782200766
2019-08-18,10224.218706633936,2.407025173223794
2019-08-25,10145.01247970698,2.1696301029149727
2019-09-01,9607.289264302583,1.7820111416008997
2019-09-08,10461.547731202416,1.766384457895482
2019-09-15,10349.551958231765,1.574816513497497
2019-09-22,9997.199887816778,1.877063574076717
2019-09-29,8225.11037185192,1.6837697695437375
2019-10-06,8140.242484268429,1.9691130246380077
2019-10-13,8308.470967433434,2.5954298120591632
2019-10-20,7949.802268609832,2.352357718254888
2019-10-27,9217.236031536286,2.747126622333381
2019-11-03,9302.83461784109,2.7029952486156117
2019-11-10,8809.78367388588,2.8000223098892882
2019-11-17,8496.376959145864,2.994172926094544
2019-11-24,7309.689243566324,2.4211047454731736
2019-12-01,7556.397585815771,2.2369526587311412
2019-12-08,7493.545154556748,2.0414645829944016
2019-12-15,7081.740255265727,1.995620237691281
2019-12-22,7141.554857046259,1.8586752607475694
2019-12-29,7307.887522683333,1.872153634552233
2020-01-05,7351.377053166627,1.8244206172608568
2020-01-12,8012.085781814529,2.271799777848724
2020-01-19,8906.902675151074,2.760310991298451
2020-01-26,8348.665665079325,2.450638056737734
